,Unnamed: 0,Longitude,Latitude,Hour,Day,DoW,Month,isDay,Accident,District Name_Ciutat Vella,District Name_Eixample,District Name_Gràcia,District Name_Horta-Guinardó,District Name_Les Corts,District Name_Nou Barris,District Name_Sant Andreu,District Name_Sant Martí,District Name_Sants-Montjuïc,District Name_Sarrià-Sant Gervasi
136,136,2.155159,41.379583000000004,15,6,4,1,1,1,0,1,0,0,0,0,0,0,0,0
137,137,2.15998,41.393601000000004,20,6,4,1,0,1,0,1,0,0,0,0,0,0,0,0
138,138,2.190224,41.392272999999996,20,6,4,1,0,1,0,0,0,0,0,0,0,1,0,0
139,139,2.1884,41.410069,22,6,4,1,0,1,0,0,0,0,0,0,0,1,0,0
140,140,2.19509,41.387723,23,6,4,1,0,1,1,0,0,0,0,0,0,0,0,0
141,141,2.200096,41.389776,23,6,4,1,0,1,0,0,0,0,0,0,0,1,0,0
142,142,2.1684069999999998,41.430591,0,7,5,1,0,1,0,0,0,0,0,1,0,0,0,0
143,143,2.126554,41.387667,1,7,5,1,0,1,0,0,0,0,1,0,0,0,0,0
144,144,2.1734080000000002,41.389688,1,7,5,1,0,1,0,1,0,0,0,0,0,0,0,0
145,145,2.174613,41.395194000000004,4,7,5,1,0,1,0,1,0,0,0,0,0,0,0,0
146,146,2.1329290000000003,41.431729,4,7,5,1,0,1,0,0,0,1,0,0,0,0,0,0
147,147,2.133931,41.414471999999996,8,7,5,1,1,1,0,0,0,0,0,0,0,0,0,1
148,148,2.1934259999999997,41.447055,8,7,5,1,1,1,0,0,0,0,0,0,1,0,0,0
149,149,2.1286650000000003,41.391822,9,7,5,1,1,1,0,0,0,0,0,0,0,0,0,1
150,150,2.149334,41.395939,9,7,5,1,1,1,0,0,0,0,0,0,0,0,0,1
151,151,2.136291,41.387507,10,7,5,1,1,1,0,0,0,0,1,0,0,0,0,0
152,152,2.1557020000000002,41.409958,12,7,5,1,1,1,0,0,1,0,0,0,0,0,0,0
153,153,2.147145,41.37883,13,7,5,1,1,1,0,1,0,0,0,0,0,0,0,0
154,154,2.177825,41.403574,13,7,5,1,1,1,0,1,0,0,0,0,0,0,0,0
155,155,2.202182,41.419901,13,7,5,1,1,1,0,0,0,0,0,0,0,1,0,0
156,156,2.18765,41.381445,14,7,5,1,1,1,1,0,0,0,0,0,0,0,0,0
157,157,2.1364919999999996,41.381902000000004,14,7,5,1,1,1,0,0,0,0,1,0,0,0,0,0
158,158,2.169896,41.390642,17,7,5,1,1,1,0,1,0,0,0,0,0,0,0,0
159,159,2.1448869999999998,41.392454,17,7,5,1,1,1,0,1,0,0,0,0,0,0,0,0
160,160,2.192724,41.444505,18,7,5,1,1,1,0,0,0,0,0,0,1,0,0,0
161,161,2.185364,41.396303,18,7,5,1,1,1,0,1,0,0,0,0,0,0,0,0
162,162,2.1323779999999997,41.389152,19,7,5,1,1,1,0,0,0,0,1,0,0,0,0,0
163,163,2.193796,41.406675,21,7,5,1,0,1,0,0,0,0,0,0,0,1,0,0
164,164,2.198352,41.40669000000001,21,7,5,1,0,1,0,0,0,0,0,0,0,1,0,0
165,165,2.18082,41.430217999999996,23,7,5,1,0,1,0,0,0,0,0,1,0,0,0,0
166,166,2.132709,41.390263,5,8,6,1,0,1,0,0,0,0,1,0,0,0,0,0
167,167,2.17468,41.422158,5,8,6,1,0,1,0,0,0,0,0,1,0,0,0,0
168,168,2.133421,41.334990999999995,6,8,6,1,1,1,0,0,0,0,0,0,0,0,1,0
169,169,2.1631110000000002,41.397455,6,8,6,1,1,1,0,1,0,0,0,0,0,0,0,0
170,170,2.182427,41.40007,9,8,6,1,1,1,0,1,0,0,0,0,0,0,0,0
171,171,2.140873,41.369155,12,8,6,1,1,1,0,0,0,0,0,0,0,0,1,0
172,172,2.194034,41.43164,12,8,6,1,1,1,0,0,0,0,0,0,1,0,0,0
173,173,2.17782,41.396589,15,8,6,1,1,1,0,1,0,0,0,0,0,0,0,0
174,174,2.14635,41.434069,16,8,6,1,1,1,0,0,0,1,0,0,0,0,0,0
175,175,2.159072,41.375665999999995,16,8,6,1,1,1,0,1,0,0,0,0,0,0,0,0
176,176,2.164095,41.371109999999994,19,8,6,1,1,1,0,0,0,0,0,0,0,0,1,0
177,177,2.179953,41.40006500000001,19,8,6,1,1,1,0,1,0,0,0,0,0,0,0,0
178,178,2.17889,41.404391,20,8,6,1,0,1,0,1,0,0,0,0,0,0,0,0
179,179,2.200956,41.437125,20,8,6,1,0,1,0,0,0,0,0,0,1,0,0,0
180,180,2.12708,41.391821,21,8,6,1,0,1,0,0,0,0,1,0,0,0,0,0
181,181,2.170897,41.398395,21,8,6,1,0,1,0,1,0,0,0,0,0,0,0,0
182,182,2.165276,41.402648,1,9,0,1,0,1,0,0,1,0,0,0,0,0,0,0
183,183,2.169936,41.399124,8,9,0,1,1,1,0,1,0,0,0,0,0,0,0,0
184,184,2.154919,41.395617,8,9,0,1,1,1,0,0,0,0,0,0,0,0,0,1
185,185,2.2085310000000002,41.409255,9,9,0,1,1,1,0,0,0,0,0,0,0,1,0,0
186,186,2.159495,41.396524,9,9,0,1,1,1,0,1,0,0,0,0,0,0,0,0
187,187,2.1691439999999997,41.39382,11,9,0,1,1,1,0,1,0,0,0,0,0,0,0,0
188,188,2.190195,41.451552,12,9,0,1,1,1,0,0,0,0,0,0,1,0,0,0
189,189,2.1429110000000002,41.354403999999995,12,9,0,1,1,1,0,0,0,0,0,0,0,0,1,0
190,190,2.158831,41.425921,12,9,0,1,1,1,0,0,0,1,0,0,0,0,0,0
191,191,2.142271,41.37538,12,9,0,1,1,1,0,0,0,0,0,0,0,0,1,0
192,192,2.166382,41.38087,12,9,0,1,1,1,1,0,0,0,0,0,0,0,0,0
193,193,2.152011,41.406837,13,9,0,1,1,1,0,0,1,0,0,0,0,0,0,0
194,194,2.1158740000000003,41.33034,13,9,0,1,1,1,0,0,0,0,0,0,0,0,1,0
195,195,2.169936,41.399124,13,9,0,1,1,1,0,1,0,0,0,0,0,0,0,0
196,196,2.164981,41.441179,13,9,0,1,1,1,0,0,0,0,0,1,0,0,0,0
197,197,2.189173,41.396468,14,9,0,1,1,1,0,0,0,0,0,0,0,1,0,0
198,198,2.171839,41.418317,15,9,0,1,1,1,0,0,0,1,0,0,0,0,0,0
199,199,2.151665,41.390763,16,9,0,1,1,1,0,1,0,0,0,0,0,0,0,0
200,200,2.1686490000000003,41.398399,16,9,0,1,1,1,0,1,0,0,0,0,0,0,0,0
201,201,2.172473,41.437502,17,9,0,1,1,1,0,0,0,0,0,1,0,0,0,0
202,202,2.1847990000000004,41.41842800000001,18,9,0,1,1,1,0,0,0,0,0,0,1,0,0,0
203,203,2.132978,41.397506,18,9,0,1,1,1,0,0,0,0,0,0,0,0,0,1
204,204,2.141099,41.361523,19,9,0,1,1,1,0,0,0,0,0,0,0,0,1,0
205,205,2.160827,41.373154,19,9,0,1,1,1,0,0,0,0,0,0,0,0,1,0
206,206,2.126329,41.375593,21,9,0,1,0,1,0,0,0,0,0,0,0,0,1,0
207,207,2.14308,41.401843,21,9,0,1,0,1,0,0,0,0,0,0,0,0,0,1
208,208,2.154035,41.37874,22,9,0,1,0,1,0,1,0,0,0,0,0,0,0,0
209,209,2.146262,41.373206,23,9,0,1,0,1,0,0,0,0,0,0,0,0,1,0
210,210,2.12969,41.388469,2,10,1,1,0,1,0,0,0,0,1,0,0,0,0,0
211,211,2.178945,41.402738,8,10,1,1,1,1,0,1,0,0,0,0,0,0,0,0
212,212,2.185337,41.385359,8,10,1,1,1,1,1,0,0,0,0,0,0,0,0,0
213,213,2.1691279999999997,41.391345,8,10,1,1,1,1,0,1,0,0,0,0,0,0,0,0
214,214,2.122062,41.391882,9,10,1,1,1,1,0,0,0,0,0,0,0,0,0,1
215,215,2.162859,41.374798999999996,9,10,1,1,1,1,0,0,0,0,0,0,0,0,1,0
216,216,2.204241,41.412263,9,10,1,1,1,1,0,0,0,0,0,0,0,1,0,0
217,217,2.147166,41.383925,10,10,1,1,1,1,0,1,0,0,0,0,0,0,0,0
218,218,2.205163,41.444756,10,10,1,1,1,1,0,0,0,0,0,0,1,0,0,0
219,219,2.153947,41.385622999999995,11,10,1,1,1,1,0,1,0,0,0,0,0,0,0,0
220,220,2.1645689999999997,41.387984,11,10,1,1,1,1,0,1,0,0,0,0,0,0,0,0
221,221,2.1140529999999997,41.399263,12,10,1,1,1,1,0,0,0,0,0,0,0,0,0,1
222,222,2.14483,41.378807,13,10,1,1,1,1,0,0,0,0,0,0,0,0,1,0
223,223,2.1663759999999996,41.393276,13,10,1,1,1,1,0,1,0,0,0,0,0,0,0,0
